Anno,Regione,PercVarUnitLavoroPesca,PercValAggPesca,ProdInMiglEur,Posizione
2001,Piemonte,11.89,0.01,59.218,Nord-ovest
2001,Valle d'Aosta,200.0,0.01,372.0144,Nord-ovest
2001,Lombardia,162.04,0.01,119.4304,Nord-ovest
2001,Trentino-Alto Adige,-0.67,0.02,43.3656,Nord-est
2001,Veneto,-2.67,0.16,24.3476,Nord-est
2001,Friuli-Venezia Giulia,22.38,0.29,50.0866,Nord-est
2001,Liguria,-2.82,0.11,38.0117,Nord-ovest
2001,Emilia-Romagna,-6.31,0.12,64.7482,Nord-est
2001,Toscana,34.66,0.09,81.2459,Centro
2001,Umbria,50.0,0.03,58.0179,Centro
2001,Marche,-5.65,0.46,56.4686,Centro
2001,Lazio,10.94,0.03,52.7949,Centro
2001,Abruzzo,4.74,0.18,23.4148,Centro
2001,Molise,-16.15,0.31,70.0927,Sud
2001,Campania,8.43,0.05,44.2093,Sud
2001,Puglia,5.66,0.39,40.0972,Sud
2001,Basilicata,108.7,0.02,94.9162,Sud
2001,Calabria,5.13,0.14,32.3177,Sud
2001,Sicilia,-7.85,0.46,36.2437,Isole
2001,Sardegna,0.81,0.19,38.8866,Isole
2002,Piemonte,-11.25,0.01,52.2572,Nord-ovest
2002,Valle d'Aosta,-66.67,0.01,123.1389,Nord-ovest
2002,Lombardia,-55.65,0.01,52.8148,Nord-ovest
2002,Trentino-Alto Adige,-2.7,0.02,43.1246,Nord-est
2002,Veneto,-0.39,0.14,20.795,Nord-est
2002,Friuli-Venezia Giulia,-16.77,0.28,43.1163,Nord-est
2002,Liguria,-0.17,0.13,30.9476,Nord-ovest
2002,Emilia-Romagna,-0.26,0.1,72.0314,Nord-est
2002,Toscana,-29.19,0.08,45.7511,Centro
2002,Umbria,-34.81,0.03,38.8994,Centro
2002,Marche,8.98,0.42,53.8849,Centro
2002,Lazio,2.2,0.04,34.6012,Centro
2002,Abruzzo,0.43,0.19,17.9348,Centro
2002,Molise,9.8,0.26,52.4957,Sud
2002,Campania,-2.06,0.06,28.8925,Sud
2002,Puglia,-4.16,0.42,34.1677,Sud
2002,Basilicata,-54.17,0.02,69.5794,Sud
2002,Calabria,9.53,0.1,19.7242,Sud
2002,Sicilia,7.43,0.39,24.9143,Isole
2002,Sardegna,-0.38,0.27,33.2133,Isole
2003,Piemonte,-13.38,0.01,52.369,Nord-ovest
2003,Valle d'Aosta,0.0,0.01,335.4186,Nord-ovest
2003,Lombardia,-20.72,0.01,106.2597,Nord-ovest
2003,Trentino-Alto Adige,-15.28,0.02,39.6644,Nord-est
2003,Veneto,-10.28,0.14,19.5813,Nord-est
2003,Friuli-Venezia Giulia,-9.08,0.24,34.3467,Nord-est
2003,Liguria,-19.61,0.14,29.4048,Nord-ovest
2003,Emilia-Romagna,-8.53,0.08,54.3578,Nord-est
2003,Toscana,-21.88,0.09,74.9322,Centro
2003,Umbria,-23.86,0.03,53.2934,Centro
2003,Marche,-9.17,0.41,39.2768,Centro
2003,Lazio,-25.96,0.05,39.8474,Centro
2003,Abruzzo,-7.38,0.21,14.3875,Centro
2003,Molise,-17.54,0.28,37.5743,Sud
2003,Campania,-0.96,0.09,35.9726,Sud
2003,Puglia,-6.34,0.44,38.5976,Sud
2003,Basilicata,-13.64,0.02,97.1754,Sud
2003,Calabria,1.31,0.17,25.0669,Sud
2003,Sicilia,-4.07,0.48,22.3657,Isole
2003,Sardegna,-3.54,0.29,27.3712,Isole
2004,Piemonte,-1.63,0.0,53.4999,Nord-ovest
2004,Valle d'Aosta,0.0,0.01,297.4268,Nord-ovest
2004,Lombardia,1.51,0.01,118.3025,Nord-ovest
2004,Trentino-Alto Adige,-6.56,0.02,41.8275,Nord-est
2004,Veneto,6.63,0.14,20.2935,Nord-est
2004,Friuli-Venezia Giulia,2.44,0.24,32.4553,Nord-est
2004,Liguria,8.69,0.17,48.8892,Nord-ovest
2004,Emilia-Romagna,2.16,0.1,57.5014,Nord-est
2004,Toscana,7.18,0.09,79.9598,Centro
2004,Umbria,-8.96,0.03,61.8631,Centro
2004,Marche,10.58,0.46,41.8168,Centro
2004,Lazio,-2.38,0.06,61.3062,Centro
2004,Abruzzo,-6.19,0.16,10.8345,Centro
2004,Molise,-8.58,0.27,39.1959,Sud
2004,Campania,7.4,0.1,47.3885,Sud
2004,Puglia,5.2,0.38,38.2315,Sud
2004,Basilicata,-5.26,0.02,105.0855,Sud
2004,Calabria,0.72,0.17,24.8241,Sud
2004,Sicilia,8.82,0.51,25.2605,Isole
2004,Sardegna,3.43,0.32,30.6931,Isole
2005,Piemonte,-0.83,0.0,41.0056,Nord-ovest
2005,Valle d'Aosta,0.0,0.01,230.5,Nord-ovest
2005,Lombardia,13.37,0.01,89.6535,Nord-ovest
2005,Trentino-Alto Adige,-45.61,0.01,34.7035,Nord-est
2005,Veneto,-10.93,0.11,16.9397,Nord-est
2005,Friuli-Venezia Giulia,-15.16,0.2,26.3922,Nord-est
2005,Liguria,5.92,0.17,38.1539,Nord-ovest
2005,Emilia-Romagna,-7.63,0.13,51.4307,Nord-est
2005,Toscana,6.8,0.07,61.3722,Centro
2005,Umbria,-1.64,0.02,52.677,Centro
2005,Marche,1.83,0.39,36.5194,Centro
2005,Lazio,-6.41,0.05,53.3801,Centro
2005,Abruzzo,-6.82,0.14,11.5384,Centro
2005,Molise,-30.61,0.22,44.4374,Sud
